2026-04-07 02:48:26 | DEBUG | stakan_pattern | [PIXELUSDT LONG] Анализ: spr3_pct=0.3215, roc_sma=0.1597, rate=2.01
2026-04-07 02:48:26 | DEBUG | stakan_pattern | [PIXELUSDT LONG] Анализ: spr3_pct=0.3215, roc_sma=0.1597, rate=2.01
2026-04-07 02:48:26 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2179, roc_sma=0.0130, rate=16.71
2026-04-07 02:48:26 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2179, roc_sma=0.0130, rate=16.71
2026-04-07 02:48:27 | DEBUG | stakan_pattern | [AAVEUSDT SHORT] Анализ: spr3_pct=0.5379, roc_sma=0.0520, rate=10.35
2026-04-07 02:48:27 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2397, roc_sma=0.0196, rate=12.26
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [ICXUSDT LONG] Анализ: spr3_pct=0.5587, roc_sma=0.2762, rate=2.02
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [ICXUSDT SHORT] Анализ: spr3_pct=0.5602, roc_sma=0.2833, rate=1.98
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [EDGEXUSDT LONG] Анализ: spr3_pct=0.2397, roc_sma=0.0196, rate=12.26
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [XTZUSDT LONG] Анализ: spr3_pct=0.5865, roc_sma=0.2899, rate=2.02
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [XTZUSDT LONG] Анализ: spr3_pct=0.5865, roc_sma=0.2899, rate=2.02
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [XTZUSDT LONG] Анализ: spr3_pct=0.5865, roc_sma=0.2899, rate=2.02
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [SNXUSDT LONG] Анализ: spr3_pct=0.6849, roc_sma=0.3378, rate=2.03
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [SNXUSDT SHORT] Анализ: spr3_pct=0.6873, roc_sma=0.3484, rate=1.97
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [SKLUSDT LONG] Анализ: spr3_pct=0.6472, roc_sma=0.1603, rate=4.04
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [SKLUSDT SHORT] Анализ: spr3_pct=0.3241, roc_sma=0.1631, rate=1.99
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [SNXUSDT SHORT] Анализ: spr3_pct=0.6897, roc_sma=0.3497, rate=1.97
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [SNXUSDT SHORT] Анализ: spr3_pct=0.6897, roc_sma=0.3497, rate=1.97
2026-04-07 02:48:28 | DEBUG | stakan_pattern | [EDUUSDT SHORT] Анализ: spr3_pct=0.6637, roc_sma=0.2237, rate=2.97
